Year,Group,LogHWBurden
2021,2,7.913813857679991
2021,2,7.83250891909292
2019,3,7.935003156497725
2021,2,7.996511676532148
2020,3,6.963787874551475
2021,3,7.854306047875129
2021,1,7.712902133458892
2021,2,8.064457992970837
2021,2,7.685741747556789
2021,2,7.875639942787051
2019,3,7.623249300738245
2021,2,7.8188854211842145
2019,3,7.477121269196145
2021,3,7.598790517702523
2021,2,7.579783608045612
2021,2,7.505149991891608
2021,2,7.880813597995193
2021,3,7.745855202970757
2021,2,7.655138444419667
2021,2,7.686636278198394
2020,3,7.407900557120527
2021,2,7.568201735804683
2019,2,7.826074809182834
2017,2,7.935003156497725
2021,1,7.732393767865458
2021,3,7.59988308298561
2021,2,7.737987334273001
2021,1,7.646403736026556
2017,3,7.948901765855416
2021,2,7.344392293336444
2020,1,7.9454685900557935
2020,3,6.892094658369256
2019,3,7.278753623810433
2021,2,7.962842685932119
2021,2,7.808885874103515
2020,2,7.342422700562864
2021,2,8.181843590801973
2021,2,7.863322866069695
2021,1,7.636487906383261
2019,2,6.963787874551475
2021,2,7.939519257610509
2021,2,7.934498456293504
2021,2,7.779596498472019
2021,2,7.732393767865458
2021,2,7.593286078099398
2019,2,7.44404481154018
2021,2,7.982723392187738
2021,2,7.808885874103515
2021,1,7.450249123719875
2018,3,7.944482677085333
2021,2,7.823474235691239
2021,2,7.740362697390507
2021,2,7.681241246423389
2021,2,7.283301251323054
2021,2,7.238046128232522
2021,2,7.383815383926484
2021,2,7.404833733718146
2021,3,7.390935124757626
2021,2,7.301030017378705
2021,2,7.367355939665266
2021,3,7.89762709678784
2021,2,7.382017060595386
2021,1,7.371067880752352
2021,2,7.779596498472019
2021,2,7.5250448200008595
2021,2,7.359835501304712
2021,3,7.863322866069695
2019,2,6.892094658369256
2021,1,7.604226063887816
2021,1,7.437750578670551
2021,2,7.332438480115348
2021,2,7.230448946925008
2020,3,7.626340377642051
2021,2,7.691965111594484
2021,2,7.342422700562864
2017,2,7.903089992420624
2021,2,7.431363780243968
2019,3,7.07918128223883
2021,2,8.372912004810338
2021,2,7.342422700562864
2021,2,7.120573964106946
2016,2,7.922206282633926
2021,1,7.348304882523249
2021,2,7.342422700562864
2021,2,7.07918128223883
2021,2,7.477121269196145
2020,1,6.959041440045759
2021,2,7.390935124757626
2021,2,7.397940026043816
2021,2,7.342422700562864
2020,1,7.540329487306565
2020,3,6.724275951543136
2021,2,7.6304278851958545
2016,3,7.746634206720634
2021,1,7.799340556347145
2017,2,7.903089992420624
2021,2,7.647382979896027
2021,2,7.939519257610509
2020,3,7.593286078099398
2019,2,7.689308868004898
2019,2,7.3117538822408505
2019,3,6.963787874551475
2021,2,7.653212523426332
2021,1,7.602060002185325
2021,2,7.447468146449202
2020,2,7.075546997887864
2021,2,7.477121269196145
2020,3,7.313867241451409
2019,1,7.632457302308139
2021,2,7.531478929815622
2021,2,7.037426537784152
2019,3,7.408239982276477
2021,2,7.408239982276477
2021,1,7.025305906235946
2016,3,7.357934866048457
2020,3,6.7379874057291245
2019,3,7.78175538183089
2021,2,7.8061799807697385
2021,2,7.240549273242052
2019,1,7.75891189996408
2019,3,6.8633229196128465
2021,2,7.406540197465111
2019,2,6.724275951543136
2019,3,6.892094658369256
2020,3,7.049218061446473
2021,2,7.904769631314321
2021,2,7.117271328808013
2019,1,7.628286741310613
2021,2,7.722387102407074
2021,1,7.012837266869683
2019,1,7.110589743965487
2021,2,7.746400652278803
2021,2,7.19033172618929
2015,3,7.602060002185325
2019,1,7.411619722796349
2016,1,7.838219228210884
2021,2,7.397940026043816
2021,1,7.3372595597270225
2021,2,6.8129134234573865
2021,2,7.176091288008646
2021,2,7.093421720185982
2021,1,7.462398012874628
2019,1,7.468051806236215
2019,1,7.386855547005589
2018,3,7.397940026043816
2020,2,6.8129134234573865
2019,3,6.698970091194907
2019,2,6.8260748675208935
2021,2,6.681241327853595
2020,2,6.716003427152961
2021,2,6.954242557694265
2018,3,6.716003427152961
2021,2,7.000000043429446
2019,1,6.939519302537522
2020,1,6.6020600999015695
2020,2,6.698970091194907
2021,3,7.662757841122758
2021,2,6.806180041842395
2019,3,6.724275951543136
2019,2,6.8129134234573865
2021,2,6.857332556749943
2021,3,6.8260748675208935
2020,3,6.799340618389208
2021,2,6.74036276845687
2020,2,6.672097950338789
2019,3,6.707570261253709
2021,2,6.963787874551475
2019,3,6.612783962645206
2019,2,6.8633229196128465
2018,3,6.681241327853595
2019,2,6.7781513227660515
2020,3,6.785329906206578
2020,1,6.5314790447759075
2015,3,7.397940026043816
2018,3,6.591064718384044
2019,3,6.732393840247865
2018,2,6.74036276845687
2015,3,7.049218061446473
2021,2,6.755874931864499
2021,1,6.690196168660032
2018,1,6.6020600999015695
2014,2,8.158362495111184
2014,2,8.139879089548298
2019,3,7.045323017912285
2021,2,6.7781513227660515
2019,1,7.313867241451409
2021,2,6.7781513227660515
2019,3,6.845098102056321
2019,3,7.6304278851958545
2019,1,6.523746596839833
2020,1,6.380211422667602
2021,2,6.5314790447759075
2019,3,6.681241327853595
2021,1,6.758911968059026
2019,3,6.6020600999015695
2019,3,7.269512967567081
2020,1,6.255272746377951
2019,3,6.447158186447363
2012,1,7.778151257621885
